duke
opp_ast,418,190th
opp_stl,261,324th
opp_blk,119,246th
opp_tov,531,26th
opp_pf,795,345th
opp_pts_per_g,64.9,81st
SOS:,6.82
ORtg:,112.1
DRtg:,91.9
east-tennessee-state
g,35,0,35,0,35,35,35,4,34,35,35,26,32,30,31,17,13,3
fg_pct,.432,186th,.446,.471,.407,.325,.532,.388,.430,.322,.453,.458,.508,.195,.600,0
fga,1978,56th
fg2_pct,.483,160th,.468,.543,.575,.391,.532,.411,.450,.365,.508,.481,.490,.200,.625,0
fg2a,1403,38th
fg3_pct,.308,301st,.277,.350,.325,.235,0,.265,.143,.290,.167,.200,.625,.192,.500,0
fg3a,575,175th
ft_pct,.659,270th,.717,.721,.711,.875,.535,.711,.687,.571,.474,.615,.360,.696,1.000,0
fta,815,42nd
pts_per_g,69.3,165th,13.9,12.7,12.1,9.3,7.8,6.7,4.0,3.9,2.8,2.6,2.4,2.2,1.2,0.0
orb,445,40th
drb,832,77th
ast,382,236th
stl,293,17th
blk,112,156th
tov,519,321st
pf,673,35th
opp_fg_pct,.418,101st
opp_fg2_pct,.477,188th
opp_fg3_pct,.332,125th
opp_orb,425,298th
opp_drb,825,306th
opp_ast,463,299th
opp_stl,257,320th
opp_blk,131,290th
opp_tov,582,9th
opp_pf,672,294th
opp_pts_per_g,67.5,158th
SOS:,-1.47
ORtg:,99.5
DRtg:,97.0
texas
g,34,0,34,0,34,34,34,34,33,34,3,27,33,23,30,16,7,4,23,3
fg_pct,.466,39th,.501,.432,.654,.410,.354,.547,.375,.457,.407,.400,.458,.583,.444,1.000,.313,.000
fga,2158,12th
fg2_pct,.509,66th,.535,.457,.654,.461,.414,.545,.500,.500,.440,.333,.468,.609,.750,1.000,.313,.000
fg2a,1592,5th
fg3_pct,.345,162nd,.383,.375,0,.365,.288,1.000,.167,.100,.235,.462,.000,.000,.200,1.000,0,.000
fg3a,566,183rd
ft_pct,.633,325th,.674,.545,.556,.578,.883,.691,.500,.500,.509,.643,.600,.286,.400,0,.417,0
fta,878,17th
pts_per_g,81.2,6th,18.0,11.6,10.4,10.0,9.6,9.4,6.7,3.8,3.6,2.7,2.0,1.9,1.6,1.3,0.7,0.0
orb,503,9th
drb,922,17th
ast,489,56th
stl,269,36th
blk,194,15th
tov,464,241st
pf,670,36th
opp_fg_pct,.403,44th
opp_fg2_pct,.436,25th
opp_fg3_pct,.322,77th
opp_orb,435,311th
opp_drb,791,257th
opp_ast,392,128th
opp_stl,247,305th
opp_blk,126,272nd
opp_tov,516,45th
opp_pf,717,327th
opp_pts_per_g,70.0,220th
SOS:,7.38
ORtg:,109.2
DRtg:,94.1
wake-forest
g,31,0,31,0,31,31,31,31,31,31,31,24,31,6,7,2,2,7,2,2,1
fg_pct,.434,177th,.447,.420,.385,.465,.373,.446,.608,.424,.508,.400,.313,0,.000,.000,0,0,.000
fga,1869,106th
fg2_pct,.472,205th,.484,.449,.448,.528,.375,.460,.608,.429,.549,.000,.313,0,.000,.000,0,0,.000
fg2a,1434,29th
fg3_pct,.308,300th,.273,.222,.324,.162,.371,.000,0,.419,.300,.500,0,0,0,0,0,0,0
fg3a,435,324th
ft_pct,.657,272nd,.698,.494,.831,.670,.609,.600,.481,.667,.680,.333,.714,0,0,0,0,0,0
fta,762,69th
pts_per_g,72.8,87th,15.8,13.2,9.9,8.7,7.3,7.2,4.6,3.2,2.6,2.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0
orb,463,27th
drb,843,67th
ast,369,251st
stl,221,155th
blk,162,34th
tov,471,253rd
pf,624,111th
opp_fg_pct,.390,12th
opp_fg2_pct,.438,32nd
opp_fg3_pct,.292,8th
opp_orb,429,304th
opp_drb,729,128th
opp_ast,354,44th
opp_stl,222,217th
opp_blk,121,255th
opp_tov,426,216th
opp_pf,648,269th
opp_pts_per_g,69.5,204th
SOS:,8.85
ORtg:,100.9
DRtg:,96.4
temple
g,35,0,35,0,35,34,35,35,31,35,34,28,25,24,10,9,9,3
fg_pct,.438,161st,.413,.427,.536,.479,.516,.373,.398,.353,.362,.278,.182,.000,.500,.000
fga,1942,73rd
fg2_pct,.484,157th,.479,.403,.561,.561,.516,.426,.402,.538,.250,.348,.143,.000,.500,.000
fg2a,1337,68th
fg3_pct,.337,194th,.318,.453,.217,.125,0,.299,.000,.326,.419,.154,.250,0,0,0
fg3a,605,137th
ft_pct,.689,172nd,.825,.847,.625,.667,.579,.589,.646,.444,.000,.500,0,1.000,.000,0
fta,533,318th
pts_per_g,64.9,258th,14.3,12.6,11.5,7.6,5.9,4.9,3.9,3.8,1.9,1.1,0.5,0.2,0.2,0.0
orb,382,146th
drb,899,25th
ast,515,38th
stl,163,311th
blk,104,180th
tov,367,23rd
pf,521,309th
opp_fg_pct,.383,7th
opp_fg2_pct,.431,17th
